iter	RMSE
0	2.568328259
1	2.366133198
2	2.189402986
3	2.035006791
4	1.901150854
5	1.78481731
6	1.682006299
7	1.596123105
8	1.520026168
9	1.457883204
10	1.403152312
11	1.355909478
12	1.318694092
13	1.287071129
14	1.26164962
15	1.239042743
16	1.221746997
17	1.20755388
18	1.19512621
19	1.185617047
20	1.175715058
21	1.168212968
22	1.160005594
23	1.153841028
24	1.146318844
25	1.137236115
26	1.12910298
27	1.123127505
28	1.116786656
29	1.113315579
30	1.109469196
31	1.106242965
32	1.103340036
33	1.101640867
34	1.100292743
35	1.098757844
36	1.09758162
37	1.094869446
38	1.093497814
39	1.092002259
40	1.091226013
41	1.090420347
42	1.0900118
43	1.089267013
44	1.088639819
45	1.088223034
46	1.086938665
47	1.086291298
48	1.085550678
49	1.085082038
50	1.084840671
51	1.083912221
52	1.083627224
53	1.082848286
54	1.082370766
55	1.081194166
56	1.080782816
57	1.080076601
58	1.080073198
59	1.080070441
60	1.07969916
61	1.078931743
62	1.078491262
63	1.078218328
64	1.078066375
65	1.077957761
66	1.077819495
67	1.076898818
68	1.076686614
69	1.076381561
70	1.075898486
71	1.075660632
72	1.074645285
73	1.074518214
74	1.074478434
75	1.074204749
76	1.073979339
77	1.073829313
78	1.073829236
79	1.073474634
80	1.073164467
81	1.073125172
82	1.072344829
83	1.072185962
84	1.071173839
85	1.070058044
86	1.069616235
87	1.069191614
88	1.068833801
89	1.0682845
90	1.068050686
91	1.067988782
92	1.067877466
93	1.066574356
94	1.066574347
95	1.06625128
96	1.065908149
97	1.065462663
98	1.064462547
99	1.063964165
100	1.063364631
101	1.062053899
102	1.061730037
103	1.060850595
104	1.060748225
105	1.06056753
106	1.060433725
107	1.059923166
108	1.059666217
109	1.058781098
110	1.05836
111	1.058141801
112	1.058141793
113	1.057631083
114	1.057375856
115	1.057154028
116	1.056312988
117	1.055439147
118	1.055093677
119	1.055010093
120	1.054515158
121	1.053740197
122	1.05362887
123	1.053476769
124	1.052824904
125	1.052162218
126	1.051741777
127	1.051560914
128	1.051278202
129	1.051083222
130	1.050900185
131	1.050071782
132	1.049618146
133	1.049239015
134	1.048861519
135	1.048714189
136	1.04850731
137	1.048265727
138	1.048106887
139	1.047773074
140	1.047384317
141	1.047302581
142	1.047141473
143	1.046930587
144	1.046903716
145	1.046329031
146	1.046274526
147	1.045534492
148	1.045295828
149	1.044459117
150	1.044347218
151	1.044282136
152	1.043958951
153	1.043585878
154	1.04340328
155	1.042984837
156	1.042892374
157	1.042610968
158	1.042407964
159	1.042247901
160	1.041617228
161	1.041298578
162	1.041061564
163	1.040973013
164	1.040662034
165	1.040401906
166	1.040263248
167	1.040134671
168	1.039847763
169	1.039686812
170	1.039656984
171	1.03949998
172	1.039319997
173	1.039276702
174	1.039116037
175	1.038570935
176	1.038171462
177	1.038014151
178	1.037976564
179	1.03767666
180	1.037497775
181	1.037451782
182	1.03732206
183	1.037158295
184	1.036654376
185	1.036348008
186	1.036124189
187	1.036039148
188	1.035949662
189	1.035469143
190	1.03533293
191	1.034996091
192	1.034674363
193	1.034427778
194	1.033977266
195	1.033879658
196	1.033806842
197	1.03337752
198	1.033318163
199	1.032961634
200	1.032839503
201	1.032760075
202	1.032550292
203	1.032266202
204	1.031978378
205	1.031877041
206	1.031567549
207	1.030739518
208	1.030711768
209	1.030472268
210	1.030375423
211	1.030344136
212	1.03028009
213	1.029904951
214	1.029660854
215	1.029082516
216	1.029049062
217	1.029009316
218	1.028976489
219	1.028381095
220	1.028288614
221	1.027979811
222	1.027923535
223	1.02773879
224	1.027687441
225	1.027559729
226	1.027008696
227	1.026972714
228	1.026962558
229	1.026916574
230	1.026906202
231	1.026715836
232	1.026392603
233	1.026111216
234	1.026045194
235	1.025890571
236	1.025832648
237	1.025681428
238	1.025630572
239	1.025269701
240	1.025047289
241	1.025033104
242	1.024713813
243	1.024264123
244	1.024198
245	1.024065412
246	1.023741925
247	1.023476632
248	1.023295697
249	1.023151023
250	1.022990154
251	1.022410339
252	1.021663347
253	1.020936735
254	1.020747558
255	1.020726078
256	1.020700176
257	1.020594564
258	1.020459715
259	1.020275965
260	1.020051957
261	1.01998551
